datetime_est,price_giants,price_raiders
2025-12-28 16:01:00-05:00,0.59,0.42
2025-12-28 16:02:00-05:00,0.59,0.42
2025-12-28 16:03:00-05:00,0.59,0.42
2025-12-28 16:04:00-05:00,0.59,0.42
2025-12-28 16:05:00-05:00,0.59,0.42
2025-12-28 16:06:00-05:00,0.599,0.42
2025-12-28 16:07:00-05:00,0.603,0.411
2025-12-28 16:08:00-05:00,0.612,0.398
2025-12-28 16:09:00-05:00,0.601,0.409
2025-12-28 16:10:00-05:00,0.587,0.398
2025-12-28 16:11:00-05:00,0.552,0.459
2025-12-28 16:12:00-05:00,0.541,0.475
2025-12-28 16:13:00-05:00,0.548,0.47
2025-12-28 16:14:00-05:00,0.55,0.47
2025-12-28 16:15:00-05:00,0.555,0.461
2025-12-28 16:16:00-05:00,0.584,0.434
2025-12-28 16:17:00-05:00,0.595,0.414
2025-12-28 16:18:00-05:00,0.573,0.437
2025-12-28 16:19:00-05:00,0.581,0.425
2025-12-28 16:20:00-05:00,0.602,0.417
2025-12-28 16:21:00-05:00,0.596,0.419
2025-12-28 16:22:00-05:00,0.589,0.425
2025-12-28 16:23:00-05:00,0.571,0.429
2025-12-28 16:24:00-05:00,0.56,0.461
2025-12-28 16:25:00-05:00,0.56,0.459
2025-12-28 16:26:00-05:00,0.551,0.461
2025-12-28 16:27:00-05:00,0.533,0.476
2025-12-28 16:28:00-05:00,0.552,0.471
2025-12-28 16:29:00-05:00,0.536,0.476
2025-12-28 16:30:00-05:00,0.513,0.498
2025-12-28 16:31:00-05:00,0.46,0.555
2025-12-28 16:32:00-05:00,0.494,0.472
2025-12-28 16:33:00-05:00,0.634,0.366
2025-12-28 16:34:00-05:00,0.629,0.38
2025-12-28 16:35:00-05:00,0.628,0.382
2025-12-28 16:36:00-05:00,0.628,0.382
2025-12-28 16:37:00-05:00,0.654,0.338
2025-12-28 16:38:00-05:00,0.713,0.3
2025-12-28 16:39:00-05:00,0.718,0.284
2025-12-28 16:40:00-05:00,0.728,0.28
2025-12-28 16:41:00-05:00,0.726,0.28
2025-12-28 16:42:00-05:00,0.714,0.286
2025-12-28 16:43:00-05:00,0.725,0.29
2025-12-28 16:44:00-05:00,0.727,0.29
2025-12-28 16:45:00-05:00,0.71,0.306
2025-12-28 16:46:00-05:00,0.691,0.324
2025-12-28 16:47:00-05:00,0.679,0.338
2025-12-28 16:48:00-05:00,0.687,0.312
2025-12-28 16:49:00-05:00,0.712,0.309
2025-12-28 16:50:00-05:00,0.695,0.31
2025-12-28 16:51:00-05:00,0.702,0.308
2025-12-28 16:52:00-05:00,0.709,0.302
2025-12-28 16:53:00-05:00,0.713,0.3
2025-12-28 16:54:00-05:00,0.729,0.284
2025-12-28 16:55:00-05:00,0.75,0.251
2025-12-28 16:56:00-05:00,0.79,0.223
2025-12-28 16:57:00-05:00,0.831,0.177
2025-12-28 16:58:00-05:00,0.829,0.176
2025-12-28 16:59:00-05:00,0.835,0.172
2025-12-28 17:00:00-05:00,0.84,0.167
2025-12-28 17:01:00-05:00,0.836,0.16
2025-12-28 17:02:00-05:00,0.858,0.155
2025-12-28 17:03:00-05:00,0.854,0.142
2025-12-28 17:04:00-05:00,0.879,0.126
2025-12-28 17:05:00-05:00,0.873,0.135
2025-12-28 17:06:00-05:00,0.869,0.145
2025-12-28 17:07:00-05:00,0.876,0.132
2025-12-28 17:08:00-05:00,0.879,0.134
2025-12-28 17:09:00-05:00,0.914,0.115
2025-12-28 17:10:00-05:00,0.919,0.088
2025-12-28 17:11:00-05:00,0.918,0.085
2025-12-28 17:12:00-05:00,0.92,0.083
2025-12-28 17:13:00-05:00,0.909,0.093
2025-12-28 17:14:00-05:00,0.909,0.094
2025-12-28 17:15:00-05:00,0.918,0.086
2025-12-28 17:16:00-05:00,0.926,0.087
2025-12-28 17:17:00-05:00,0.919,0.09
2025-12-28 17:18:00-05:00,0.917,0.097
2025-12-28 17:19:00-05:00,0.914,0.109
2025-12-28 17:20:00-05:00,0.92,0.094
2025-12-28 17:21:00-05:00,0.929,0.082
2025-12-28 17:22:00-05:00,0.939,0.072
2025-12-28 17:23:00-05:00,0.938,0.067
2025-12-28 17:24:00-05:00,0.92,0.086
2025-12-28 17:25:00-05:00,0.917,0.088
2025-12-28 17:26:00-05:00,0.914,0.091
2025-12-28 17:27:00-05:00,0.918,0.089
2025-12-28 17:28:00-05:00,0.919,0.086
2025-12-28 17:29:00-05:00,0.912,0.087
2025-12-28 17:30:00-05:00,0.918,0.09
2025-12-28 17:31:00-05:00,0.919,0.087
2025-12-28 17:32:00-05:00,0.916,0.089
2025-12-28 17:33:00-05:00,0.917,0.088
2025-12-28 17:34:00-05:00,0.919,0.087
2025-12-28 17:35:00-05:00,0.919,0.09
2025-12-28 17:36:00-05:00,0.919,0.09
2025-12-28 17:37:00-05:00,0.914,0.09
2025-12-28 17:38:00-05:00,0.92,0.089
2025-12-28 17:39:00-05:00,0.918,0.09
2025-12-28 17:40:00-05:00,0.92,0.09
2025-12-28 17:41:00-05:00,0.914,0.088
2025-12-28 17:42:00-05:00,0.92,0.083
2025-12-28 17:43:00-05:00,0.91,0.09
2025-12-28 17:44:00-05:00,0.916,0.1
2025-12-28 17:45:00-05:00,0.922,0.084
2025-12-28 17:46:00-05:00,0.93,0.077
2025-12-28 17:47:00-05:00,0.943,0.07
2025-12-28 17:48:00-05:00,0.942,0.058
2025-12-28 17:49:00-05:00,0.94,0.065
2025-12-28 17:50:00-05:00,0.938,0.068
2025-12-28 17:51:00-05:00,0.941,0.056
2025-12-28 17:52:00-05:00,0.956,0.059
2025-12-28 17:53:00-05:00,0.961,0.045
2025-12-28 17:54:00-05:00,0.969,0.036
2025-12-28 17:55:00-05:00,0.978,0.026
2025-12-28 17:56:00-05:00,0.97,0.029
2025-12-28 17:57:00-05:00,0.97,0.033
2025-12-28 17:58:00-05:00,0.967,0.04
2025-12-28 17:59:00-05:00,0.969,0.036
2025-12-28 18:00:00-05:00,0.968,0.032
2025-12-28 18:01:00-05:00,0.963,0.038
2025-12-28 18:02:00-05:00,0.97,0.041
2025-12-28 18:03:00-05:00,0.963,0.039
2025-12-28 18:04:00-05:00,0.965,0.033
2025-12-28 18:05:00-05:00,0.965,0.048
2025-12-28 18:06:00-05:00,0.969,0.039
2025-12-28 18:07:00-05:00,0.961,0.042
2025-12-28 18:08:00-05:00,0.958,0.055
2025-12-28 18:09:00-05:00,0.952,0.051
2025-12-28 18:10:00-05:00,0.942,0.055
2025-12-28 18:11:00-05:00,0.94,0.066
2025-12-28 18:12:00-05:00,0.936,0.064
2025-12-28 18:13:00-05:00,0.936,0.067
2025-12-28 18:14:00-05:00,0.946,0.036
2025-12-28 18:15:00-05:00,0.972,0.029
2025-12-28 18:16:00-05:00,0.984,0.022
2025-12-28 18:17:00-05:00,0.986,0.017
2025-12-28 18:18:00-05:00,0.981,0.018
2025-12-28 18:19:00-05:00,0.984,0.027
2025-12-28 18:20:00-05:00,0.979,0.023
2025-12-28 18:21:00-05:00,0.976,0.029
2025-12-28 18:22:00-05:00,0.98,0.024
2025-12-28 18:23:00-05:00,0.98,0.02
2025-12-28 18:24:00-05:00,0.973,0.027
2025-12-28 18:25:00-05:00,0.99,0.01
2025-12-28 18:26:00-05:00,0.99,0.01
2025-12-28 18:27:00-05:00,0.99,0.01
2025-12-28 18:28:00-05:00,0.99,0.01
2025-12-28 18:29:00-05:00,0.99,0.01
2025-12-28 18:30:00-05:00,0.99,0.01
2025-12-28 18:31:00-05:00,0.99,0.01
2025-12-28 18:32:00-05:00,0.99,0.01
2025-12-28 18:33:00-05:00,0.99,0.01
2025-12-28 18:34:00-05:00,0.99,0.01
2025-12-28 18:35:00-05:00,0.99,0.01
2025-12-28 18:36:00-05:00,0.99,0.01
2025-12-28 18:37:00-05:00,0.99,0.01
2025-12-28 18:38:00-05:00,0.99,0.01
2025-12-28 18:39:00-05:00,0.99,0.01
2025-12-28 18:40:00-05:00,0.99,0.01
2025-12-28 18:41:00-05:00,0.99,0.01
2025-12-28 18:42:00-05:00,0.99,0.01
2025-12-28 18:43:00-05:00,0.99,0.01
2025-12-28 18:44:00-05:00,0.99,0.01
2025-12-28 18:45:00-05:00,0.99,0.01
2025-12-28 18:46:00-05:00,0.99,0.01
2025-12-28 18:47:00-05:00,0.99,0.01
2025-12-28 18:48:00-05:00,0.99,0.01
2025-12-28 18:49:00-05:00,0.99,0.01
2025-12-28 18:50:00-05:00,0.99,0.01
2025-12-28 18:51:00-05:00,0.99,0.01
2025-12-28 18:52:00-05:00,0.99,0.01
2025-12-28 18:53:00-05:00,0.99,0.01
2025-12-28 18:54:00-05:00,0.99,0.01
2025-12-28 18:55:00-05:00,0.99,0.01
2025-12-28 18:56:00-05:00,0.99,0.01
