datetime_est,price_giants,price_raiders
2025-12-28 16:00:15-05:00,0.585,0.415
2025-12-28 16:00:21-05:00,0.585,0.415
2025-12-28 16:01:10-05:00,0.585,0.415
2025-12-28 16:01:12-05:00,0.585,0.415
2025-12-28 16:02:09-05:00,0.585,0.415
2025-12-28 16:02:11-05:00,0.585,0.415
2025-12-28 16:03:10-05:00,0.585,0.425
2025-12-28 16:03:13-05:00,0.575,0.425
2025-12-28 16:04:10-05:00,0.575,0.415
2025-12-28 16:04:12-05:00,0.585,0.415
2025-12-28 16:05:10-05:00,0.585,0.415
2025-12-28 16:05:12-05:00,0.585,0.415
2025-12-28 16:06:09-05:00,0.585,0.405
2025-12-28 16:06:11-05:00,0.595,0.405
2025-12-28 16:07:09-05:00,0.595,0.385
2025-12-28 16:07:11-05:00,0.615,0.385
2025-12-28 16:08:10-05:00,0.615,0.395
2025-12-28 16:08:12-05:00,0.605,0.395
2025-12-28 16:09:10-05:00,0.605,0.375
2025-12-28 16:09:12-05:00,0.625,0.375
2025-12-28 16:10:09-05:00,0.625,0.425
2025-12-28 16:10:12-05:00,0.575,0.425
2025-12-28 16:11:10-05:00,0.575,0.455
2025-12-28 16:11:11-05:00,0.545,0.455
2025-12-28 16:12:09-05:00,0.545,0.455
2025-12-28 16:12:11-05:00,0.545,0.455
2025-12-28 16:13:10-05:00,0.545,0.435
2025-12-28 16:13:12-05:00,0.565,0.435
2025-12-28 16:14:09-05:00,0.565,0.445
2025-12-28 16:14:11-05:00,0.555,0.445
2025-12-28 16:15:23-05:00,0.555,0.435
2025-12-28 16:15:25-05:00,0.565,0.435
2025-12-28 16:16:09-05:00,0.565,0.415
2025-12-28 16:16:11-05:00,0.585,0.415
2025-12-28 16:17:09-05:00,0.585,0.415
2025-12-28 16:17:11-05:00,0.585,0.415
2025-12-28 16:18:10-05:00,0.585,0.435
2025-12-28 16:18:11-05:00,0.565,0.435
2025-12-28 16:19:10-05:00,0.565,0.415
2025-12-28 16:19:12-05:00,0.585,0.415
2025-12-28 16:20:10-05:00,0.585,0.4
2025-12-28 16:20:13-05:00,0.6,0.4
2025-12-28 16:21:10-05:00,0.6,0.41
2025-12-28 16:21:11-05:00,0.59,0.41
2025-12-28 16:22:19-05:00,0.59,0.425
2025-12-28 16:22:28-05:00,0.575,0.425
2025-12-28 16:23:09-05:00,0.575,0.445
2025-12-28 16:23:11-05:00,0.555,0.445
2025-12-28 16:24:10-05:00,0.555,0.455
2025-12-28 16:24:11-05:00,0.545,0.455
2025-12-28 16:25:12-05:00,0.545,0.445
2025-12-28 16:25:16-05:00,0.555,0.445
2025-12-28 16:26:10-05:00,0.555,0.455
2025-12-28 16:26:11-05:00,0.545,0.455
2025-12-28 16:27:10-05:00,0.545,0.47
2025-12-28 16:27:12-05:00,0.53,0.47
2025-12-28 16:28:09-05:00,0.53,0.44
2025-12-28 16:28:11-05:00,0.56,0.44
2025-12-28 16:29:09-05:00,0.56,0.49
2025-12-28 16:29:11-05:00,0.51,0.49
2025-12-28 16:30:14-05:00,0.51,0.485
2025-12-28 16:30:18-05:00,0.515,0.485
2025-12-28 16:31:10-05:00,0.515,0.56
2025-12-28 16:31:12-05:00,0.44,0.56
2025-12-28 16:32:09-05:00,0.44,0.355
2025-12-28 16:32:11-05:00,0.645,0.355
2025-12-28 16:33:10-05:00,0.645,0.385
2025-12-28 16:33:11-05:00,0.615,0.385
2025-12-28 16:34:10-05:00,0.615,0.38
2025-12-28 16:34:11-05:00,0.62,0.38
2025-12-28 16:35:10-05:00,0.62,0.38
2025-12-28 16:35:12-05:00,0.62,0.38
2025-12-28 16:36:11-05:00,0.62,0.36
2025-12-28 16:36:13-05:00,0.64,0.36
